AccountId,TransactionId,TransactionId_OBIE,BookingDateTime,ValueDateTime,RawDateString,InstructedAmount,TransactionAmount,Currency,OriginalCurrency,ExchangeRate,TransactionType,MerchantCategoryCode,BankTransactionCode,ProprietaryBankTransactionCode,Reference,Balance,CounterpartyName,CounterpartyAccount,Status,merchant_name,category
A001,T101580,O4276568,2025-03-05 21:24:47,2025-03-05 21:24:47,,1732.43,,GBP,GBP,,Debit,5812,BTC970,PBC296,REF60135,3249.49,,,Booked,Stabrucks,Food & Drink 
A001,T481760,O1314067,2025-07-19 11:34:22,2025-07-19 11:34:22,,88.42,88.42,GBP,GBP,,Debit,5912,BTC851,PBC289,REF59681,5734.58,,,Booked, Pharmacy , Personal Care
A003,T145649,O7550726,2025-11-16 06:40:32,2025-11-17 06:40:32,,-1500,-1500,USD,USD,,Refund,6011,BTC667,PBC120,REF76535,19601.83,,,Failed, PAYROLL LTD,Income 
A001,T400353,O7680763,2025-12-27 21:16:38,2025-12-27 21:16:38,,-75.93,-75.93,GBP,GBP,,Transfer,5541,BTC797,PBC832,REF43619,16965.67,,,Booked,Shell Fuel,Fuel 
A001,T694808,O5891832,2025-11-17 19:08:13,2025-11-17 19:08:13,,46.77,46.77,GBP,GBP,,Debit,5812,BTC133,PBC602,REF84958,800.83,,,Booked,tSarbucks,Food & Drink
A001,T209149,O9863756,2025-11-17 08:25:17,2025-11-17 08:25:17,17-11-2025 08:25:17,1500,1500,GBP,GBP,,Transfer,6011,BTC477,PBC839,REF27106,19176.25,,,Booked,PAYROLL LTD,Income
A003,T420932,O1502983,2025-03-23 21:48:02,2025-03-23 21:48:02,,-478.98,-478.98,USD,USD,,Refund,5942,BTC905,PBC266,REF24338,12131.56,,,Pending, Amazon, Online Shopping
A002,T686179,O9142018,2025-12-21 07:03:22,2025-12-22 07:03:22,,-35.01,-35.01,EUR,EUR,,Transfer,4812,BTC356,PBC140,REF27659,10397.42,,,Booked,Verizon , Mobile / Telecom
A003,T177667,O6536912,2025-06-27 07:23:25,2025-06-28 07:23:25,,-1300,-1300,USD,USD,,Refund,6513,BTC370,PBC199,REF37536,17883.1,,,Booked,LANDLORD LTD,Rent / Mortgage
A002,T943465,O1868514,2025-02-09 20:33:33,2025-02-09 20:33:33,,-473.77,-473.77,EUR,EUR,,Transfer,4899,BTC626,PBC298,REF22420,9543.02,,,Booked,Netflix, Streaming / Subscriptions
A001,T882786,O7672159,2025-01-23 08:11:43,2025-01-23 08:11:43,,2000,2000,GBP,GBP,,Refund,6011,BTC265,PBC449,REF93489,348.49,,,Pending,PAYROLL LTD,Income
A002,T826515,O3942041,2025-09-17 20:29:19,2025-09-18 20:29:19,,-70.14,-70.14,EUR,EUR,,Debit,4899,BTC392,PBC286,REF80165,2386.35,,,Booked, Netflix, Streaming / Subscriptions
A001,T404691,O7004341,2025-07-26 07:31:14,2025-07-26 07:31:14,,2500,2500,GBP,GBP,,Refund,6011,BTC110,PBC175,REF57555,3082.47,Counterparty 30,CP249319,Booked, PAYROLL LTD, Income 
A001,T536535,O4347166,2025-02-08 07:30:59,2025-02-08 07:30:59,,-53.5,-53.5,GBP,GBP,,Debit,4121,BTC799,PBC886,REF28242,5322.31,,,Booked,Uber, Transport Services 
A001,T424506,O9277618,2025-01-27 20:59:17,2025-01-28 20:59:17,,-7.91,-7.91,GBP,GBP,,Credit,4121,BTC209,PBC143,REF52539,12987.73,,,Booked,Uber ,Travel
A002,T617216,O3650861,2025-04-18 06:34:14,2025-04-19 06:34:14,,-5.84,-5.84,EUR,EUR,,Debit,5411,BTC230,PBC573,REF39473,10359.28,,,Booked,tesoc,Groceries
A003,T469359,O7266775,2025-09-03 21:10:58,2025-09-03 21:10:58,,-25.42,-25.42,USD,USD,,Debit,5411,BTC230,PBC836,REF55084,18100.44,,,Booked,tesco , Food Store
A002,T385166,O6473593,2025-02-08 22:26:44,2025-02-08 22:26:44,,-369.47,-369.47,EUR,EUR,,Debit,4899,BTC817,PBC951,REF61505,568.44,,,Booked,Netflix , Streaming / Subscriptions
A003,T326059,O9939702,2025-08-22 19:06:05,2025-08-22 19:06:05,,-26.99,-26.99,USD,USD,,Refund,4121,BTC563,PBC261,REF53260,7922.61,,,Pending, Uber,Transport Services 
A001,T621071,O4384055,2025-11-08 10:55:15,2025-11-09 10:55:15,,-559.35,-559.35,GBP,GBP,,Refund,5651,BTC602,PBC774,REF23537,6192.47,,,Booked,Zara,Clothing 
A003,T237579,O4763487,2025-05-05 09:24:32,2025-05-06 09:24:32,,500,500,USD,USD,,Debit,6012,BTC119,PBC333,REF62873,14415.61,,,Booked,Oevrdraft Fee,Bank Fees
A003,T196799,O8189752,2025-01-12 09:19:15,2025-01-12 09:19:15,2025-01-12 09:19:15,2000,2000,USD,USD,,Debit,6011,BTC253,PBC653,REF11112,19828.58,,,Booked, PAYROLL TLD ,Income
A001,T923298,O9906787,2025-06-19 09:39:34,2025-06-19 09:39:34,,1500,1500,GBP,GBP,,Credit,6011,BTC981,PBC262,REF15357,4537.08,,,Booked, PAYORLL LTD,Income 
A001,T790282,O7245868,2025-07-21 15:13:21,2025-07-22 15:13:21,,2500,2500,GBP,GBP,,Credit,6011,BTC700,PBC430,REF71242,5769.81,,,Booked,PAYROLL LTD, Income
A002,T314683,O6424574,2025-03-01 11:34:38,2025-03-01 11:34:38,01-03-2025 11:34:38,-119.62,-119.62,EUR,EUR,,Transfer,4121,BTC813,PBC572,REF91717,10243.68,,,Pending,Uber ,Transit
A002,T898112,O5635400,2025-11-09 14:45:51,2025-11-10 14:45:51,,2000,2000,GBP,EUR,1.129,Debit,6011,BTC419,PBC220,REF51803,11688.35,,,Pending, PAYROLL LTD,Income 
A002,T969750,O9090002,2025-11-09 15:59:43,2025-11-09 15:59:43,,2500,2500,EUR,EUR,,Debit,6011,BTC482,PBC803,REF20969,2125.15,,,Booked,payroll ltd,Income
A001,T560523,O6703894,2025-10-19 13:56:05,2025-10-20 13:56:05,,1500,1500,GBP,GBP,,Debit,6011,BTC165,PBC731,REF33544,-958.17,,,Booked, PAYRLOL LTD,Income
A001,T269244,O4847593,2025-02-20 16:08:38,2025-02-21 16:08:38,2025-02-20 16:08:38,-8.88,-8.88,GBP,GBP,,Transfer,5734,BTC505,PBC980,REF80215,5961.54,,,Booked,adobe,Software / Subscriptions
A001,T895034,O2944497,2025-11-22 21:09:05,2025-11-23 21:09:05,,-19.63,-19.63,GBP,GBP,,Credit,4812,BTC420,PBC536,REF98705,-796.88,,,Pending,Verizon , Mobile / Telecom
A002,T821211,O6891056,2025-08-17 09:36:00,2025-08-17 09:36:00,,-112.27,-112.27,EUR,EUR,,Credit,5812,BTC324,PBC690,REF61485,3742.11,,,Booked, Strabucks,Food & Drink 
A003,T702733,O7398231,2025-04-19 10:14:29,2025-04-20 10:14:29,2025-04-19 10:14:29,-901.7,-901.7,USD,USD,,Transfer,4899,BTC209,PBC342,REF73335,19846.53,,,Booked,Netflix ,Streaming / Subscriptions 
A001,T905812,O6078724,2025-06-06 20:14:16,2025-06-07 20:14:16,,-48.84,-48.84,GBP,GBP,,Transfer,6012,BTC437,PBC356,REF98487,3003.49,,,Booked,Overdraft Fee,Bank Fees
A002,T570284,O2501119,2025-12-05 10:06:33,2025-12-05 10:06:33,,2500,2500,EUR,EUR,,Debit,6011,BTC661,PBC942,REF30314,1420.23,,,Booked,PAYROLL LTD,Income
A002,T755857,O1363733,2025-04-26 13:31:53,2025-04-26 13:31:53,,-81.37,-81.37,EUR,EUR,,Debit,5411,BTC950,PBC223,REF58183,5612.93,,,Booked, Tseco, Supermarket
A003,T337696,O9139712,2025-01-08 20:07:26,2025-01-08 20:07:26,,-88.22,-88.22,USD,USD,,Credit,5734,BTC648,PBC302,REF25809,8395.58,,,Booked,Adboe,Software / Subscriptions
A003,T200780,O3202624,2025-11-18 18:05:25,2025-11-18 18:05:25,,2080.97,,USD,USD,,Debit,6011,BTC801,PBC717,REF50645,9282.08,,,Booked,PAYROLL LTD,Income 
A003,T693101,O9560740,2025-11-05 10:17:04,2025-11-06 10:17:04,2025-11-05 10:17:04,-176.47,-176.47,USD,USD,,Refund,5812,BTC211,PBC925,REF64104,19861.86,,,Booked,starbucks , Food & Drink
A002,T617054,O8768311,2025-11-22 08:40:19,2025-11-22 08:40:19,,2500,2500,EUR,EUR,,Debit,6011,BTC225,PBC600,REF64771,2392.8,,,Booked,payroll ltd,Income
A002,T835381,O9219319,2025-01-18 18:12:33,2025-01-19 18:12:33,2025-01-18 18:12:33,2000,2000,GBP,EUR,0.7608,Transfer,6011,BTC956,PBC497,REF94115,30.8,,,Booked, PAYROLL LTD, Income
A003,T426488,O2756081,2025-05-21 07:43:54,2025-05-21 07:43:54,,-354.78,-354.78,USD,USD,,Credit,4899,BTC650,PBC314,REF76728,5479.94,,,Booked, Netlfix,Streaming / Subscriptions
A001,T772922,O5972962,2025-01-12 08:51:18,2025-01-12 08:51:18,,-69.74,-69.74,GBP,GBP,,Refund,5812,BTC990,PBC899,REF59265,882.75,,,Pending,Starbucks, Food & Drink 
A003,T125668,O7468693,2025-11-16 17:31:19,2025-11-16 17:31:19,,-254.21,-254.21,USD,USD,,Debit,4899,BTC256,PBC245,REF69267,15553.57,,,Failed,Netflix,Streaming / Subscriptions 
A001,T514254,O4474885,2025-04-03 06:26:01,2025-04-03 06:26:01,,-70.74,-70.74,GBP,GBP,,Refund,4812,BTC741,PBC294,REF83669,1536.88,,,Booked,Verizon ,Mobile / Telecom
A003,T826687,O3234807,2025-07-05 19:54:13,2025-07-06 19:54:13,,-27.44,-27.44,USD,USD,,Refund,5812,BTC110,PBC580,REF21237,13423.9,,,Booked, starbucks ,Food & Drink
A003,T277477,O2403154,2025-06-09 21:18:58,2025-06-10 21:18:58,,-396.68,-396.68,USD,USD,,Debit,6300,BTC247,PBC929,REF53572,17161.38,,,Booked,Health Insurance,Insurance
A001,T190644,O7045314,2025-07-06 17:42:57,2025-07-06 17:42:57,,-582.33,-582.33,GBP,GBP,,Transfer,7997,BTC655,PBC517,REF98566,17580.22,,,Booked, Gymbox,Fitness
A001,T589207,O2090595,2025-06-22 19:42:11,2025-06-22 19:42:11,,1500,1500,GBP,GBP,,Transfer,6011,BTC837,PBC928,REF73774,9932.52,,,Booked, PAYROLL LTD, Income
A002,T642126,O1506832,2025-06-07 10:30:04,2025-06-08 10:30:04,,-169.19,-169.19,EUR,EUR,,Refund,4899,BTC153,PBC516,REF89610,11417.76,,,Booked,Netflix ,Streaming / Subscriptions
A002,T226395,O7988074,2025-04-03 16:50:30,2025-04-03 16:50:30,,2000,2000,EUR,EUR,,Debit,6011,BTC936,PBC544,REF55603,14701.25,,,Booked, PAYROLL LTD,Income
A002,T900154,O3237600,2025-02-06 11:01:38,2025-02-06 11:01:38,,-348.83,-348.83,EUR,EUR,,Debit,4899,BTC290,PBC989,REF15232,16125.02,,,Booked,Netflix,Streaming / Subscriptions
A003,T285413,O9180249,2025-02-02 08:30:56,2025-02-02 08:30:56,02-02-2025 08:30:56,2500,2500,USD,USD,,Transfer,6011,BTC897,PBC182,REF33639,12324.48,,,Pending, PAYROLL LTD,Income
A003,T839935,O6140518,2025-08-20 22:04:53,2025-08-21 22:04:53,2025-08-20 22:04:53,2000,2000,USD,USD,,Refund,6011,BTC467,PBC621,REF69311,7777.36,,,Booked, PAYROLL LTD ,Income 
A002,T682401,O8967020,2025-11-02 17:57:35,2025-11-02 17:57:35,,-20.32,-20.32,EUR,EUR,,Refund,6012,BTC778,PBC277,REF37684,16709.88,,,Booked, Overdraft Fee ,Bank Fees
A002,T624001,O3800042,2025-06-01 15:29:33,2025-06-01 15:29:33,,2500,2500,EUR,EUR,,Debit,6011,BTC636,PBC517,REF42955,15901.61,,,Booked, PAYROLL LTD,Income
A002,T561342,O4872334,2025-07-28 10:44:56,2025-07-28 10:44:56,,112.61,112.61,EUR,EUR,,Refund,4899,BTC832,PBC912,REF55145,8651.58,,,Booked,Netflix ,Streaming / Subscriptions
A002,T559876,O5521152,2025-01-24 11:25:22,2025-01-24 11:25:22,,-24.76,-24.76,EUR,EUR,,Refund,4812,BTC286,PBC649,REF66143,2398.52,,,Booked, Verizon,Mobile / Telecom
A002,T847748,O5955645,2025-04-03 16:38:49,2025-04-04 16:38:49,,188.4,,EUR,EUR,,Transfer,7997,BTC890,PBC733,REF21232,2238.64,,,Booked, Gymbox ,Fitness
A001,T626213,O3887704,2025-09-04 14:02:01,2025-09-05 14:02:01,"Sep 04, 2025 02:02 PM",1200,1200,GBP,GBP,,Credit,6513,BTC424,PBC903,REF18621,15964.47,Counterparty 157,CP738424,Booked,landlord ltd,Rent / Mortgage
A003,T737894,O1141997,2025-11-09 08:18:01,2025-11-09 08:18:01,,-7.86,-7.86,USD,USD,,Transfer,4121,BTC762,PBC277,REF27342,13967.55,,,Failed, ubre , Transport Services
A003,T664271,O9203667,2025-12-21 14:48:45,2025-12-21 14:48:45,2025-12-21 14:48:45,-58.24,-58.24,USD,USD,,Credit,0,BTC523,PBC669,REF32745,15533.41,,,Pending,****, Corrupted
A003,T783680,O9385512,2025-07-08 08:09:25,2025-07-09 08:09:25,2025/07/08 08:09:25,-671.27,-671.27,USD,USD,,Debit,4899,BTC913,PBC600,REF83716,5758.6,,,Booked, Netflix, Streaming / Subscriptions
A001,T129514,O5772070,2025-03-14 10:19:45,2025-03-14 10:19:45,,-392.53,-392.53,GBP,GBP,,Credit,4899,BTC792,PBC461,REF90863,1692.16,,,Booked,Netflix,Streaming / Subscriptions 
A001,T539033,O6631448,2025-12-17 10:03:15,2025-12-18 10:03:15,,-98.66,-98.66,GBP,GBP,,Transfer,5411,BTC972,PBC692,REF53403,2407.88,,,Booked,Tesco,Food Store
A003,T812131,O7523941,2025-03-14 18:57:49,2025-03-15 18:57:49,2025-03-14 18:57:49,50,50,USD,USD,,Refund,6012,BTC597,PBC129,REF67125,14207.81,,,Booked,overdraft fee,Bank Fees 
A002,T453729,O4700592,2025-02-21 06:30:58,2025-02-22 06:30:58,,-7.4,-7.4,EUR,EUR,,Refund,5812,BTC216,PBC609,REF23937,5808.93,Counterparty 52,CP546915,Booked,Starbucks, Food & Drink
A002,T664400,O5969473,2025-02-13 16:39:31,2025-02-14 16:39:31,2025-02-13 16:39:31,-1500,-1500,EUR,EUR,,Debit,6011,BTC817,PBC757,REF76338,7357.4,,,Booked,payrlol ltd, Income
A001,T347306,O1966421,2025-12-05 13:46:19,2025-12-06 13:46:19,,-52.16,-52.16,GBP,GBP,,Debit,6300,BTC474,PBC782,REF34465,4155.97,,,Failed,Health Insurance ,Insurance 
A002,T402620,O4265774,2025-06-15 13:13:37,2025-06-15 13:13:37,,-14.49,-14.49,EUR,EUR,,Credit,4812,BTC510,PBC152,REF15930,7113.33,,,Booked, Verizon,Mobile / Telecom 
A003,T608817,O7341430,2025-11-05 10:38:18,2025-11-05 10:38:18,05-11-2025 10:38:18,-306.44,-306.44,USD,USD,,Debit,6513,BTC635,PBC483,REF51195,17286.43,,,Booked,LANDOLRD LTD ,Rent / Mortgage 
A001,T585363,O9446398,2025-11-10 10:08:43,2025-11-10 10:08:43,,-101.3,-101.3,GBP,GBP,,Debit,5411,BTC699,PBC183,REF43405,15509.72,Counterparty 190,CP793715,Booked,Tesco, Supermarket 
A002,T894210,O9580538,2025-01-20 06:26:04,2025-01-21 06:26:04,,-52.24,-52.24,EUR,EUR,,Debit,4899,BTC975,PBC581,REF50388,8855.89,,,Booked,nteflix,Streaming / Subscriptions 
A001,T302717,O9589914,2025-07-04 12:10:15,2025-07-05 12:10:15,,-247.13,-247.13,GBP,GBP,,Transfer,6012,BTC370,PBC697,REF32709,2651.22,,,Booked,Overdraft Fee,Bank Fees
A001,T993978,O8998677,2025-08-09 13:56:39,2025-08-10 13:56:39,,-86.47,-86.47,GBP,GBP,,Debit,5812,BTC289,PBC615,REF22352,2574.88,,,Booked,Stabrucks, Food & Drink
A001,T242274,O9712522,2025-01-11 10:10:18,2025-01-12 10:10:18,,-23.64,-23.64,GBP,GBP,,Debit,4812,BTC355,PBC310,REF65628,4835.38,,,Booked,verizon,Mobile / Telecom
A003,T367685,O9504541,2025-07-13 12:13:49,2025-07-13 12:13:49,,-474.22,-474.22,USD,USD,,Credit,4899,BTC192,PBC918,REF37568,18842.83,,,Booked,Netflix,Streaming / Subscriptions
A001,T926874,O3179206,2025-06-02 13:48:59,2025-06-03 13:48:59,,-14.73,-14.73,GBP,GBP,,Credit,5912,BTC869,PBC242,REF84447,19376.83,,,Booked, Pharmacy, Personal Care 
A002,T173372,O4305700,2025-02-09 11:37:16,2025-02-09 11:37:16,,61.19,61.19,EUR,EUR,,Transfer,4900,BTC803,PBC836,REF80575,12086.26,,,Booked,Electricity Co ,Utilities 
A003,T393234,O9184794,2025-01-11 12:58:33,2025-01-11 12:58:33,11-01-2025 12:58:33,1500,1500,USD,USD,,Transfer,6011,BTC924,PBC247,REF18337,18804.41,,,Booked,APYROLL LTD,Income
A002,T227010,O4558298,2025-03-08 13:36:50,2025-03-08 13:36:50,,1500,1500,EUR,EUR,,Credit,6011,BTC828,PBC691,REF16471,16140.5,,,Failed,PAYROLL LTD,Income 
A003,T870137,O3669548,2025-08-20 17:36:27,2025-08-20 17:36:27,,-199.19,-199.19,USD,USD,,Refund,4812,BTC396,PBC282,REF84808,10551.48,,,Booked, Verizon,Mobile / Telecom
A003,T789786,O1440466,2025-10-10 15:22:06,2025-10-11 15:22:06,,2500,2500,USD,USD,,Transfer,6011,BTC791,PBC758,REF90422,-391.98,,,Pending,PAYROLL LTD , Income
A001,T804633,O1279750,2025-07-28 09:02:23,2025-07-28 09:02:23,,-74.32,-74.32,GBP,GBP,,Transfer,4121,BTC973,PBC298,REF46369,17852.47,,,Booked, Uber,Travel 
A003,T174809,O7790959,2025-10-20 12:36:36,2025-10-21 12:36:36,20-10-2025 12:36:36,-266.67,-266.67,USD,USD,,Credit,4899,BTC531,PBC746,REF54222,2401.99,,,Booked,Netflix , Streaming / Subscriptions
A002,T447704,O7704473,2025-07-13 22:59:58,2025-07-14 22:59:58,,-86.57,-86.57,EUR,EUR,,Refund,4121,BTC760,PBC793,REF83822,1224.84,,,Booked,Uber,Transit
A001,T864491,O7897151,2025-01-23 07:14:04,2025-01-23 07:14:04,2025-01-23 07:14:04,-103.44,-103.44,GBP,GBP,,Credit,5812,BTC462,PBC533,REF66498,13140.66,,,Booked,starubcks ,Food & Drink
A002,T655364,O3044259,2025-12-06 21:42:03,2025-12-06 21:42:03,06/12/2025 21:42,1500,1500,EUR,EUR,,Transfer,6011,BTC733,PBC539,REF99660,6163.04,,,Booked, payrlol ltd , Income
A001,T643471,O5597554,2025-08-08 22:46:50,2025-08-08 22:46:50,"Aug 08, 2025 10:46 PM",-24.64,-24.64,GBP,GBP,,Refund,7230,BTC964,PBC516,REF66694,9407.07,,,Booked,Hair aSlon ,Personal Care
A002,T462814,O1147701,2025-10-17 13:11:33,2025-10-17 13:11:33,,-94.78,-94.78,EUR,EUR,,Refund,4121,BTC943,PBC870,REF83575,4047.31,,,Failed,Ubre,Transport Services
A001,T401701,O1801923,2025-06-02 06:33:06,2025-06-03 06:33:06,2025-06-02 06:33:06,-81.08,-81.08,GBP,GBP,,Transfer,4121,BTC440,PBC181,REF40040,19369.35,,,Booked, bUer , Travel
A002,T759737,O3867901,2025-10-18 19:25:43,2025-10-18 19:25:43,,55.52,55.52,EUR,EUR,,Transfer,5912,BTC774,PBC960,REF21056,5885.7,,,Booked,Pharmacy ,Personal Care
A003,T999908,O2352527,2025-11-22 19:51:58,2025-11-22 19:51:58,,-800,-800,USD,USD,,Credit,6513,BTC800,PBC947,REF49318,963.51,,,Booked,LANDLODR LTD,Rent / Mortgage
A001,T687789,O1054096,2025-03-19 17:33:00,2025-03-20 17:33:00,,-49.57,-49.57,GBP,GBP,,Transfer,4121,BTC750,PBC864,REF32671,1472.01,,,Booked,Uber,Transport
A002,T792413,O4496403,2025-06-04 10:58:11,2025-06-04 10:58:11,04/06/2025 10:58,-28.59,-28.59,EUR,EUR,,Debit,4121,BTC489,PBC445,REF66550,8562.21,,,Booked, Uber,Transit 
A002,T425490,O3170095,2025-12-19 20:31:15,2025-12-20 20:31:15,,-298.7,-298.7,EUR,EUR,,Refund,5651,BTC699,PBC175,REF47185,19323.6,,,Booked,Zara,Clothing
A002,T373943,O7203657,2025-07-06 07:42:18,2025-07-07 07:42:18,06/07/2025 07:42,-257.24,-257.24,EUR,EUR,,Debit,4900,BTC774,PBC557,REF29809,9183.29,,,Booked,Electricity Co,Utilities 
A002,T980661,O2703916,2025-08-15 07:15:45,2025-08-15 07:15:45,,-7.22,-7.22,EUR,EUR,,Debit,5812,BTC341,PBC857,REF67967,1103.15,,,Booked, Starbucks, Food & Drink 
A001,T283201,O6990202,2025-11-22 17:50:30,2025-11-22 17:50:30,2025-11-22 17:50:30,-75.38,-75.38,GBP,GBP,,Credit,5411,BTC467,PBC367,REF12376,15943.13,,,Failed,tesco ,Food Store 
A001,T932199,O8467647,2025-06-01 17:54:04,2025-06-01 17:54:04,,-41.75,-41.75,GBP,GBP,,Credit,0,BTC619,PBC252,REF33264,15951.3,Counterparty 10,CP663703,Pending,****, Corrupted
A003,T987734,O2751542,2025-02-07 18:39:03,2025-02-07 18:39:03,,2000,2000,USD,USD,,Transfer,6011,BTC376,PBC211,REF35523,-410.97,Counterparty 155,CP916628,Booked, payroll ltd , Income
A002,T660245,O6262234,2025-06-14 18:05:31,2025-06-14 18:05:31,,-395.54,-395.54,GBP,EUR,0.7693,Credit,5311,BTC655,PBC277,REF84878,-8.64,,,Booked,target, Retail 
A001,T598796,O2112761,2025-12-09 16:01:50,2025-12-09 16:01:50,,2000,2000,GBP,GBP,,Refund,6011,BTC194,PBC529,REF39189,19650.74,,,Booked,PAYROLL LTD,Income
A001,T485364,O8844203,2025-12-15 13:25:13,2025-12-15 13:25:13,,-181.51,-181.51,GBP,GBP,,Refund,6012,BTC536,PBC561,REF54089,5657.43,,,Booked, Overdraft Fee,Bank Fees
A003,T834450,O1680808,2025-11-24 14:04:39,2025-11-24 14:04:39,,2000,2000,USD,USD,,Refund,6011,BTC571,PBC871,REF61544,18527.09,,,Booked,payroll ltd,Income
A001,T177582,O3252923,2025-03-24 21:46:37,2025-03-24 21:46:37,,1500,1500,GBP,GBP,,Transfer,6011,BTC213,PBC583,REF47255,19520.75,,,Booked,PAYROLL LTD, Income
A003,T130557,O3673591,2025-06-28 08:40:13,2025-06-28 08:40:13,,2000,2000,USD,USD,,Transfer,6011,BTC137,PBC306,REF94793,15583.07,,,Booked, PAYRLOL LTD,Income
A002,T348053,O7979221,2025-08-09 14:22:33,2025-08-09 14:22:33,,-50,-50,EUR,EUR,,Credit,6012,BTC666,PBC455,REF23891,2136.92,,,Booked, Overdraft Fee, Bank Fees
A002,T954602,O7573445,2025-11-19 21:40:53,2025-11-19 21:40:53,,-60.41,-60.41,EUR,EUR,,Debit,5812,BTC977,PBC599,REF33464,19812.33,,,Booked,starbucsk,Food & Drink
